SATZART;AGS;LAND;RB;KREIS;BEV;ERWERBST;ERWERBSL;NERWERB;ERW18;ERW18_29;ERW30_49;ERW50_64;ERW65;ERWOAUS;ERWBERUF;ERWHOCH
40;13061;Mecklenburg-Vorpommern;Gesamt;Rügen;64780;33120;1880;29780;/;6280;14270;11500;950;3410;25570;4140
40;13062;Mecklenburg-Vorpommern;Gesamt;Uecker-Randow;68280;31100;3840;33340;/;5770;14480;10370;330;3060;24040;4000
10;14;Sachsen;Gesamt;Gesamt;4008600;1998650;151990;1857950;13000;379890;920370;611760;73640;197080;1407230;394340
20;145;Sachsen;Chemnitz;Gesamt;1483190;734840;52190;696160;5170;129280;331370;241520;27500;64360;555050;115420
40;14511;Sachsen;Chemnitz;Chemnitz, Stadt;236440;110590;9860;115990;/;21060;50100;34750;4030;11130;74940;24520
40;14521;Sachsen;Chemnitz;Erzgebirgskreis;359500;181980;12700;164820;1350;31420;80320;61940;6940;14850;143270;23860
40;14522;Sachsen;Chemnitz;Mittelsachsen;318210;162080;10020;146110;1250;28160;73840;52600;6230;13410;123980;24690
40;14523;Sachsen;Chemnitz;Vogtlandkreis;236960;116950;8780;111220;690;19980;53510;38970;3810;9370;89420;18170
40;14524;Sachsen;Chemnitz;Zwickau;332090;163230;10840;158020;1230;28640;73610;53260;6490;15610;123440;24180
20;146;Sachsen;Dresden;Gesamt;1573130;787330;57110;728690;5180;152230;365950;235050;28910;79610;538650;169060
40;14612;Sachsen;Dresden;Dresden, Stadt;506900;259930;16990;229980;1210;64800;120850;63530;9530;31330;148430;80170
40;14625;Sachsen;Dresden;Bautzen;311480;157360;11980;142140;1090;26440;73900;50250;5690;13920;119050;24380
40;14626;Sachsen;Dresden;Görlitz;265950;124830;11470;129650;1090;20940;55300;42190;5310;12050;93260;19530
40;14627;Sachsen;Dresden;Meißen;244860;121550;8670;114650;920;19290;57910;39270;4170;10750;87610;23190
40;14628;Sachsen;Dresden;Sächsische Schweiz-Osterzgebirge;243930;123660;8000;112270;870;20760;57990;39820;4230;11570;90300;21790
20;147;Sachsen;Leipzig;Gesamt;952280;476490;42690;433110;2650;98380;223050;135190;17220;53110;313530;109850
40;14713;Sachsen;Leipzig;Leipzig, Stadt;494070;240960;23810;229300;/;57860;113710;58740;9490;30480;140420;70060
40;14729;Sachsen;Leipzig;Leipzig;259110;133310;9220;116580;730;22870;62670;42660;4380;11600;97890;23830
40;14730;Sachsen;Leipzig;Nordsachsen;199100;102210;9660;87230;760;17640;46670;33780;3360;11030;75220;15970
