SATZART;AGS;LAND;RB;KREIS;BEV;ERWERBST;ERWERBSL;NERWERB;ERW18;ERW18_29;ERW30_49;ERW50_64;ERW65;ERWOAUS;ERWBERUF;ERWHOCH
40;05314;Nordrhein-Westfalen;Köln;Bonn, Stadt;304020;153240;8100;142680;/;30750;79490;38230;4660;31300;58340;63600
40;05315;Nordrhein-Westfalen;Köln;Köln, Stadt;997900;504530;37410;455960;2050;111520;261160;114560;15240;118190;226390;159950
40;05316;Nordrhein-Westfalen;Köln;Leverkusen, Stadt;158590;74880;4310;79400;/;14400;37890;19890;1760;16750;44850;13270
40;05334;Nordrhein-Westfalen;Köln;Städteregion Aachen;537110;253130;16080;267890;2610;52370;119090;70940;8120;55940;138050;59140
40;05358;Nordrhein-Westfalen;Köln;Düren;257640;123510;7350;126780;1030;22350;58910;36980;4240;27360;78420;17730
40;05362;Nordrhein-Westfalen;Köln;Rhein-Erft-Kreis;449990;218400;10490;221100;2370;38520;108200;63000;6300;46160;132680;39560
40;05366;Nordrhein-Westfalen;Köln;Euskirchen;186360;92380;4170;89810;910;16090;44410;27380;3600;19550;59880;12950
40;05370;Nordrhein-Westfalen;Köln;Heinsberg;246810;118650;5960;122200;1520;22660;57070;33800;3610;25690;77940;15020
40;05374;Nordrhein-Westfalen;Köln;Oberbergischer Kreis;271270;133150;6470;131650;1690;24850;64000;38500;4100;29230;86960;16960
40;05378;Nordrhein-Westfalen;Köln;Rheinisch-Bergischer Kreis;276840;139490;6330;131030;1750;22330;68090;41680;5630;25680;82080;31730
40;05382;Nordrhein-Westfalen;Köln;Rhein-Sieg-Kreis;575770;286110;12460;277200;3440;51700;136800;84560;9610;54520;168600;62990
20;055;Nordrhein-Westfalen;Münster;Gesamt;2554820;1243890;64620;1246310;13370;250760;599060;345010;35690;236250;804300;203330
40;05512;Nordrhein-Westfalen;Münster;Bottrop, Stadt;116820;54310;3530;58980;/;10820;27460;14080;1400;10750;36890;6660
40;05513;Nordrhein-Westfalen;Münster;Gelsenkirchen, Stadt;256800;103160;12540;141110;/;22380;48300;29380;2260;23830;67210;12120
40;05515;Nordrhein-Westfalen;Münster;Münster, Stadt;287060;151310;7750;128000;/;39750;68890;37320;4580;28790;66720;55790
40;05554;Nordrhein-Westfalen;Münster;Borken;360360;191740;5470;163150;3740;41100;90050;50990;5860;36760;133620;21360
40;05558;Nordrhein-Westfalen;Münster;Coesfeld;213540;111720;3200;98620;1590;19820;53250;33520;3550;17630;75390;18700
40;05562;Nordrhein-Westfalen;Münster;Recklinghausen;616970;275780;19970;321220;2190;52160;135360;78780;7280;53670;182080;40030
40;05566;Nordrhein-Westfalen;Münster;Steinfurt;431660;220740;7290;203620;2580;40130;110470;61100;6460;41510;149280;29960
40;05570;Nordrhein-Westfalen;Münster;Warendorf;271610;135130;4870;131610;1110;24600;65280;39830;4300;23320;93110;18700
20;057;Nordrhein-Westfalen;Detmold;Gesamt;2014890;985270;49950;979670;9580;194160;470000;280710;30830;200470;626250;158550
40;05711;Nordrhein-Westfalen;Detmold;Bielefeld, Stadt;323650;151050;9790;162820;/;33310;72430;40410;4330;33390;79180;38480
40;05754;Nordrhein-Westfalen;Detmold;Gütersloh;348860;177690;6930;164240;1190;34200;85970;50930;5410;35380;118450;23860
40;05758;Nordrhein-Westfalen;Detmold;Herford;249590;123130;6480;119980;980;22630;59610;35820;4100;24810;81800;16520
40;05762;Nordrhein-Westfalen;Detmold;Höxter;144390;70430;2750;71220;800;13310;32910;21400;2010;12210;49430;8780
40;05766;Nordrhein-Westfalen;Detmold;Lippe;345860;164840;8800;172220;2250;29860;76880;49290;6560;33270;105900;25680
40;05770;Nordrhein-Westfalen;Detmold;Minden-Lübbecke;309320;147090;8290;153930;1740;27130;70100;43560;4570;29130;98330;19640
40;05774;Nordrhein-Westfalen;Detmold;Paderborn;293210;151030;6920;135270;2050;33730;72100;39290;3850;32280;93160;25590
20;059;Nordrhein-Westfalen;Arnsberg;Gesamt;3555690;1689640;104070;1761980;14440;328850;807890;485440;53020;355330;1072490;261810
40;05911;Nordrhein-Westfalen;Arnsberg;Bochum, Stadt;360470;167430;11760;181280;/;34150;81610;46440;4280;33410;98530;35490
40;05913;Nordrhein-Westfalen;Arnsberg;Dortmund, Stadt;568820;262610;23240;282980;1680;56590;127980;67900;8450;57340;152060;53200
40;05914;Nordrhein-Westfalen;Arnsberg;Hagen, Stadt;187010;85500;6660;94850;/;15970;39550;27190;2010;22170;51530;11800
40;05915;Nordrhein-Westfalen;Arnsberg;Hamm, Stadt;175310;81380;5970;87970;/;16020;38180;23520;2770;16510;55730;9140
40;05916;Nordrhein-Westfalen;Arnsberg;Herne, Stadt;154590;64450;5710;84420;/;12550;32820;17610;1280;14510;42070;7880
40;05954;Nordrhein-Westfalen;Arnsberg;Ennepe-Ruhr-Kreis;324540;156620;8490;159430;1190;27310;75600;46340;6180;29750;98400;28470
40;05958;Nordrhein-Westfalen;Arnsberg;Hochsauerlandkreis;263990;134680;4840;124470;1850;24400;62280;40850;5310;27400;91470;15810
40;05962;Nordrhein-Westfalen;Arnsberg;Märkischer Kreis;421390;204530;10920;205940;1860;39430;97220;59270;6750;48320;132270;23940
40;05966;Nordrhein-Westfalen;Arnsberg;Olpe;135720;70190;2480;63060;850;14760;33370;18990;2220;15970;46400;7820
40;05970;Nordrhein-Westfalen;Arnsberg;Siegen-Wittgenstein;275960;138330;5250;132380;1890;29300;61940;40690;4520;29070;89380;19880
40;05974;Nordrhein-Westfalen;Arnsberg;Soest;293550;145330;6360;141860;1300;26200;69310;43780;4720;28200;96010;21110
40;05978;Nordrhein-Westfalen;Arnsberg;Unna;394350;178580;12400;203360;970;32190;88040;52860;4520;32670;118640;27270
10;06;Hessen;Gesamt;Gesamt;5946070;2990290;135070;2820710;34770;563030;1473880;815380;103220;622980;1712300;655010
20;064;Hessen;Darmstadt;Gesamt;3726860;1895250;86980;1744640;20600;346570;956700;501730;69650;403690;1016060;475500
40;06411;Hessen;Darmstadt;Darmstadt, Wissenschaftsstadt;142630;69140;4100;69390;/;15000;34070;16730;2730;17210;27350;24580
40;06412;Hessen;Darmstadt;Frankfurt am Main, Stadt;665650;350440;19820;295390;3090;71850;188470;75860;11160;84950;139980;125510
40;06413;Hessen;Darmstadt;Offenbach am Main, Stadt;113210;55200;3790;54220;460;12360;27160;13620;1600;16240;27280;11680
40;06414;Hessen;Darmstadt;Wiesbaden, Landeshauptstadt;268070;132550;5960;129560;/;24270;70140;32710;4220;26800;62520;43230
40;06431;Hessen;Darmstadt;Bergstraße;259760;133850;5430;120490;1750;23090;62930;40340;5730;25760;84390;23690
40;06432;Hessen;Darmstadt;Darmstadt-Dieburg;280900;146280;5590;129020;2090;25570;72110;41490;5010;30330;83570;32370
40;06433;Hessen;Darmstadt;Groß-Gerau;250540;126520;5800;118230;1450;24100;63760;33330;3870;29890;74190;22440
40;06434;Hessen;Darmstadt;Hochtaunuskreis;225340;113010;4410;107920;1460;16140;58470;31230;5710;20270;57480;35260
40;06435;Hessen;Darmstadt;Main-Kinzig-Kreis;399290;199310;8480;191500;2250;36960;96980;55320;7800;42330;125210;31770
40;06436;Hessen;Darmstadt;Main-Taunus-Kreis;223520;114650;4000;104880;1260;18140;59990;30920;4320;20020;60930;33690
40;06437;Hessen;Darmstadt;Odenwaldkreis;96040;46890;2090;47050;610;8880;21800;13740;1850;9540;31630;5720
40;06438;Hessen;Darmstadt;Offenbach;331710;168610;8210;154900;1770;30250;84500;45650;6440;36460;96510;35640
40;06439;Hessen;Darmstadt;Rheingau-Taunus-Kreis;179150;93930;3140;82080;920;15340;44410;29080;4180;17230;54590;22120
40;06440;Hessen;Darmstadt;Wetteraukreis;291050;144880;6160;140010;1630;24620;71920;41700;5010;26660;90420;27810
20;065;Hessen;Gießen;Gesamt;1019860;508080;23210;488570;6660;103430;239940;143510;14540;107470;311730;88890
40;06531;Hessen;Gießen;Gießen;250010;124440;7260;118320;1480;27550;57560;34530;3320;27720;69670;27050
40;06532;Hessen;Gießen;Lahn-Dill-Kreis;252350;125510;5000;121840;1790;25040;59440;35130;4120;26430;80950;18130
40;06533;Hessen;Gießen;Limburg-Weilburg;170190;82420;3420;84350;1200;15810;40940;22210;2260;16870;52310;13230
40;06534;Hessen;Gießen;Marburg-Biedenkopf;240010;121220;5550;113240;1370;25440;56230;34830;3350;25650;71170;24400
40;06535;Hessen;Gießen;Vogelsbergkreis;107300;54500;1990;50810;830;9600;25780;16810;1480;10790;37620;6090
20;066;Hessen;Kassel;Gesamt;1199340;586960;24880;587510;7510;113030;277240;170130;19040;111820;384520;90620
40;06611;Hessen;Kassel;Kassel, documenta-Stadt;189770;89950;6700;93110;/;20540;41450;23680;3360;20570;44560;24820
40;06631;Hessen;Kassel;Fulda;215150;108230;3260;103670;1690;23410;51120;29490;2510;19670;72510;16040
40;06632;Hessen;Kassel;Hersfeld-Rotenburg;120230;57960;1950;60320;790;11680;27000;17010;1490;11070;40120;6770
40;06633;Hessen;Kassel;Kassel;234290;116710;3690;113880;1590;18610;56490;35650;4380;20720;78720;17270
40;06634;Hessen;Kassel;Schwalm-Eder-Kreis;180180;87970;4170;88040;1100;15580;42400;25860;3030;16930;59660;11390
40;06635;Hessen;Kassel;Waldeck-Frankenberg;158030;78390;2600;77040;970;14990;36990;22890;2550;14990;54610;8800
40;06636;Hessen;Kassel;Werra-Meißner-Kreis;101690;47730;2520;51440;470;8210;21780;15560;1710;7870;34330;5530
10;07;Rheinland-Pfalz;Gesamt;Gesamt;3969400;2007250;87330;1874820;27690;388030;938270;585860;67400;398990;1280080;328180
20;071;Rheinland-Pfalz;Koblenz;Gesamt;1474480;746720;29540;698210;12190;141070;346430;220320;26720;145730;496160;104840
40;07111;Rheinland-Pfalz;Koblenz;Koblenz, kreisfreie Stadt;107040;53370;2170;51500;/;11670;25010;14060;1870;10990;30210;12160
40;07131;Rheinland-Pfalz;Koblenz;Ahrweiler;125590;62400;2350;60830;1190;10770;28850;19000;2600;11680;40810;9910
40;07132;Rheinland-Pfalz;Koblenz;Altenkirchen (Westerwald);130250;65640;2530;62080;1100;12400;30720;19260;2150;12900;45360;7370
40;07133;Rheinland-Pfalz;Koblenz;Bad Kreuznach;154620;76040;3620;74960;1000;13890;35070;23060;3010;14820;50460;10760
40;07134;Rheinland-Pfalz;Koblenz;Birkenfeld;82260;40090;2130;40050;700;7170;17120;13180;1910;9630;26320;4150
40;07135;Rheinland-Pfalz;Koblenz;Cochem-Zell;63110;32800;850;29450;520;6340;14740;9950;1270;6120;22720;3970
40;07137;Rheinland-Pfalz;Koblenz;Mayen-Koblenz;208580;106580;3950;98050;1640;20270;50030;31080;3560;19260;72870;14450
40;07138;Rheinland-Pfalz;Koblenz;Neuwied;179690;89200;4280;86210;1310;16460;41810;26620;3000;17760;58850;12590
40;07140;Rheinland-Pfalz;Koblenz;Rhein-Hunsrück-Kreis;101900;54420;1500;45980;1040;10790;25040;15740;1810;11030;36360;7020
40;07141;Rheinland-Pfalz;Koblenz;Rhein-Lahn-Kreis;121770;62470;2330;56970;930;11470;28700;19110;2260;11180;42550;8740
40;07143;Rheinland-Pfalz;Koblenz;Westerwaldkreis;199660;103720;3820;92120;2000;19830;49340;29260;3280;20360;69650;13700
20;072;Rheinland-Pfalz;Trier;Gesamt;514550;270670;8240;235640;4500;54440;125690;76620;9430;53230;175680;41770
40;07211;Rheinland-Pfalz;Trier;Trier, kreisfreie Stadt;104830;54690;2330;47820;/;14850;23830;13710;1490;13500;26190;15000
40;07231;Rheinland-Pfalz;Trier;Bernkastel-Wittlich;111160;60070;1650;49440;1020;10930;27850;17840;2430;11380;42410;6280
40;07232;Rheinland-Pfalz;Trier;Eifelkreis Bitburg-Prüm;95080;50190;1290;43600;1050;9440;23430;14350;1910;9120;35470;5610
40;07233;Rheinland-Pfalz;Trier;Vulkaneifel;61770;31130;940;29700;420;5970;13640;10030;1070;6380;21320;3430
40;07235;Rheinland-Pfalz;Trier;Trier-Saarburg;141710;74600;2030;65080;1200;13250;36940;20690;2520;12850;50300;11450
20;073;Rheinland-Pfalz;Rheinhessen-Pfalz;Gesamt;1980370;989850;49560;940970;10990;192520;466160;288920;31250;200040;608240;181570
40;07311;Rheinland-Pfalz;Rheinhessen-Pfalz;Frankenthal (Pfalz), kreisfreie Stadt;46070;21380;1310;23390;/;4400;9870;6500;480;4720;13490;3170
40;07312;Rheinland-Pfalz;Rheinhessen-Pfalz;Kaiserslautern, kreisfreie Stadt;96040;43840;4510;47690;/;10450;19760;12130;1210;11260;23550;9030
40;07313;Rheinland-Pfalz;Rheinhessen-Pfalz;Landau in der Pfalz, kreisfreie Stadt;42790;22640;750;19400;/;5050;10740;5940;720;4680;13070;4890
40;07314;Rheinland-Pfalz;Rheinhessen-Pfalz;Ludwigshafen am Rhein, kreisfreie Stadt;157200;71970;5550;79680;/;16720;34700;18460;1380;18500;43560;9910
40;07315;Rheinland-Pfalz;Rheinhessen-Pfalz;Mainz, kreisfreie Stadt;199820;103070;6230;90520;/;25820;47650;24590;4330;23730;43070;36270
40;07316;Rheinland-Pfalz;Rheinhessen-Pfalz;Neustadt an der Weinstraße, kreisfreie Stadt;52030;24560;1390;26080;/;4410;11500;7660;760;4450;15160;4950
40;07317;Rheinland-Pfalz;Rheinhessen-Pfalz;Pirmasens, kreisfreie Stadt;40250;16640;1890;21720;/;3620;7580;4850;390;4810;9700;2130
40;07318;Rheinland-Pfalz;Rheinhessen-Pfalz;Speyer, kreisfreie Stadt;49350;24300;1150;23900;/;4440;10940;7920;740;5100;13330;5870
40;07319;Rheinland-Pfalz;Rheinhessen-Pfalz;Worms, kreisfreie Stadt;78890;38800;1840;38250;/;8210;17590;11410;1140;9200;23030;6570
40;07320;Rheinland-Pfalz;Rheinhessen-Pfalz;Zweibrücken, kreisfreie Stadt;33820;15800;990;17040;/;3470;7480;4320;/;3170;10610;2020
40;07331;Rheinland-Pfalz;Rheinhessen-Pfalz;Alzey-Worms;124540;66160;2740;55640;720;12230;30820;20100;2290;12180;44110;9880
40;07332;Rheinland-Pfalz;Rheinhessen-Pfalz;Bad Dürkheim;130450;65430;2660;62370;760;10630;30470;21190;2380;11680;41920;11830
40;07333;Rheinland-Pfalz;Rheinhessen-Pfalz;Donnersbergkreis;75480;37730;1810;35930;560;6430;18230;11340;1180;7410;25500;4820
40;07334;Rheinland-Pfalz;Rheinhessen-Pfalz;Germersheim;123510;63920;2570;57010;900;12220;30920;18050;1830;12510;42880;8520
40;07335;Rheinland-Pfalz;Rheinhessen-Pfalz;Kaiserslautern;105030;52370;2510;50140;540;9720;23770;17030;1310;9720;34970;7690
40;07336;Rheinland-Pfalz;Rheinhessen-Pfalz;Kusel;72600;36260;1580;34760;450;6780;16800;11360;880;6510;26340;3410
40;07337;Rheinland-Pfalz;Rheinhessen-Pfalz;Südliche Weinstraße;107580;56680;1660;49230;920;9660;26320;17410;2380;10130;38420;8130
40;07338;Rheinland-Pfalz;Rheinhessen-Pfalz;Rhein-Pfalz-Kreis;146500;72190;2140;72160;760;11470;35380;22270;2320;12100;47650;12450
40;07339;Rheinland-Pfalz;Rheinhessen-Pfalz;Mainz-Bingen;200250;107160;4230;88860;1550;17560;53310;30980;3760;17680;64970;24510
40;07340;Rheinland-Pfalz;Rheinhessen-Pfalz;Südwestpfalz;98160;48930;2040;47190;570;9240;22350;15430;1340;10510;32890;5530
10;08;Baden-Württemberg;Gesamt;Gesamt;10411000;5413480;195140;4802380;84950;1063460;2575910;1506500;182660;1066710;3317260;1029510
20;081;Baden-Württemberg;Stuttgart;Gesamt;3888630;2015980;76440;1796210;30360;388820;980970;549850;65970;391990;1227280;396710
40;08111;Baden-Württemberg;Stuttgart;Stuttgart;581390;301380;16020;263990;2600;64870;154180;68900;10830;64210;140420;96750
40;08115;Baden-Württemberg;Stuttgart;Böblingen;361660;187800;6670;167190;2660;35740;90690;51970;6750;36480;113120;38210
40;08116;Baden-Württemberg;Stuttgart;Esslingen;500360;259990;9460;230910;4020;48590;125820;72150;9410;49050;156620;54330
40;08117;Baden-Württemberg;Stuttgart;Göppingen;246430;126220;5430;114780;2370;22940;60390;35870;4650;25390;81380;19450
40;08118;Baden-Württemberg;Stuttgart;Ludwigsburg;506780;264310;9180;233280;3830;49410;131700;71320;8050;48980;159890;55440
40;08119;Baden-Württemberg;Stuttgart;Rems-Murr-Kreis;403330;209710;7900;185720;3350;36980;102010;59690;7680;40120;132170;37410
40;08121;Baden-Württemberg;Stuttgart;Heilbronn, Stadt;114900;56830;3010;55060;/;11650;28030;14970;1460;13720;33780;9330
40;08125;Baden-Württemberg;Stuttgart;Heilbronn;321680;169880;5260;146540;3310;32380;82020;47390;4780;30450;114800;24620
40;08126;Baden-Württemberg;Stuttgart;Hohenlohekreis;106650;58750;1430;46470;1140;11700;27230;16950;1730;11910;39870;6970
40;08127;Baden-Württemberg;Stuttgart;Schwäbisch Hall;184650;97870;2880;83900;1790;20200;44420;28210;3250;19310;65590;12970
40;08128;Baden-Württemberg;Stuttgart;Main-Tauber-Kreis;129840;66760;1590;61490;870;12530;30590;20700;2060;12270;45540;8950
40;08135;Baden-Württemberg;Stuttgart;Heidenheim;127390;61510;2590;63290;960;12060;29190;18030;1270;12040;40740;8740
40;08136;Baden-Württemberg;Stuttgart;Ostalbkreis;303580;154970;5030;143580;2740;29770;74700;43700;4050;28060;103360;23550
20;082;Baden-Württemberg;Karlsruhe;Gesamt;2643800;1353690;54090;1236020;17670;267740;649100;377970;41220;260380;813930;279380
40;08211;Baden-Württemberg;Karlsruhe;Baden-Baden;51890;25840;1030;25030;/;4650;11430;7860;1460;5060;14670;6110
40;08212;Baden-Württemberg;Karlsruhe;Karlsruhe, Stadt;285080;149170;7190;128720;1150;31360;72700;39400;4560;27480;72860;48830
40;08215;Baden-Württemberg;Karlsruhe;Karlsruhe;422090;219440;7040;195620;3310;40540;106000;63990;5590;39060;142540;37830
40;08216;Baden-Württemberg;Karlsruhe;Rastatt;221750;116720;3890;101150;1790;22160;55290;34640;2850;21210;78220;17290
40;08221;Baden-Württemberg;Karlsruhe;Heidelberg;145250;72370;3420;69460;/;17190;34250;17240;3080;14780;27790;29800
40;08222;Baden-Württemberg;Karlsruhe;Mannheim;287810;140530;8250;139030;/;33140;69050;34030;3350;35460;72890;32170
40;08225;Baden-Württemberg;Karlsruhe;Neckar-Odenwald-Kreis;140850;70530;2010;68310;1010;13710;33470;20750;1590;13020;49720;7790
40;08226;Baden-Württemberg;Karlsruhe;Rhein-Neckar-Kreis;521080;267830;10470;242780;3300;48560;130750;76880;8340;47190;162600;58040
40;08231;Baden-Württemberg;Karlsruhe;Pforzheim;113790;53990;3610;56190;/;11810;24360;15260;2090;12810;32430;8750
40;08235;Baden-Württemberg;Karlsruhe;Calw;149000;77040;2500;69450;1360;14080;35300;23240;3060;14760;51290;10990
40;08236;Baden-Württemberg;Karlsruhe;Enzkreis;190120;98680;2800;88640;1750;18320;47300;28280;3040;17000;66830;14840
40;08237;Baden-Württemberg;Karlsruhe;Freudenstadt;115090;61560;1890;51630;1520;12220;29200;16410;2210;12550;42080;6940
20;083;Baden-Württemberg;Freiburg;Gesamt;2131030;1117570;37680;975780;18960;223350;513290;320040;41930;231960;697140;188470
40;08311;Baden-Württemberg;Freiburg;Freiburg im Breisgau;207220;107470;5590;94150;/;26470;49120;26440;4340;23140;44880;39460
40;08315;Baden-Württemberg;Freiburg;Breisgau-Hochschwarzwald;246270;130480;3610;112170;2620;24080;60330;38460;5000;23970;84180;22330
40;08316;Baden-Württemberg;Freiburg;Emmendingen;155620;83620;2220;69790;1130;16040;38000;25730;2730;16620;54780;12220
40;08317;Baden-Württemberg;Freiburg;Ortenaukreis;407120;215270;6570;185280;3810;41210;100050;62990;7210;45020;143320;26930
40;08325;Baden-Württemberg;Freiburg;Rottweil;135530;72460;2130;60940;1670;14010;32950;20790;3040;15070;48320;9060
40;08326;Baden-Württemberg;Freiburg;Schwarzwald-Baar-Kreis;202380;104140;3310;94930;1790;20360;46170;31980;3840;22650;68340;13160
40;08327;Baden-Württemberg;Freiburg;Tuttlingen;131420;69230;2350;59840;1240;14780;31300;19320;2590;15910;45790;7530
40;08335;Baden-Württemberg;Freiburg;Konstanz;265640;136200;4820;124610;2270;27400;63830;36980;5710;27770;79900;28530
40;08336;Baden-Württemberg;Freiburg;Lörrach;217400;113280;4450;99670;1890;22110;52910;32230;4140;23430;71290;18560
40;08337;Baden-Württemberg;Freiburg;Waldshut;162430;85410;2620;74390;1440;16900;38630;25120;3320;18390;56330;10690
20;084;Baden-Württemberg;Tübingen;Gesamt;1747530;926240;26930;794360;17960;183540;432550;258640;33540;182380;578910;164950
40;08415;Baden-Württemberg;Tübingen;Reutlingen;271190;143480;5540;122170;2660;26300;67320;41330;5880;26990;90660;25830
40;08416;Baden-Württemberg;Tübingen;Tübingen;210390;110600;3260;96530;1610;24380;51690;29880;3040;21760;56490;32360
40;08417;Baden-Württemberg;Tübingen;Zollernalbkreis;184800;95080;3360;86360;1710;18630;43660;28500;2580;21270;62030;11790
40;08421;Baden-Württemberg;Tübingen;Ulm;115220;61050;1990;52170;/;14150;28390;15830;1980;13780;31320;15950
40;08425;Baden-Württemberg;Tübingen;Alb-Donau-Kreis;185280;100300;2150;82830;2270;19820;47490;27530;3190;18890;66880;14540
40;08426;Baden-Württemberg;Tübingen;Biberach;186140;98320;2030;85780;1680;20430;45500;27550;3160;17630;67830;12860
40;08435;Baden-Württemberg;Tübingen;Bodenseekreis;201610;106010;2630;92970;2060;19380;49120;30200;5240;18750;66030;21230
40;08436;Baden-Württemberg;Tübingen;Ravensburg;266510;144320;3760;118430;3630;27780;68530;38730;5650;29310;92640;22380
40;08437;Baden-Württemberg;Tübingen;Sigmaringen;126390;67070;2200;57130;1630;12670;30860;19100;2820;14020;45030;8020
10;09;Bayern;Gesamt;Gesamt;12308230;6524800;214390;5569050;104890;1293550;3131430;1758050;236880;1156710;4177050;1191030
20;091;Bayern;Oberbayern;Gesamt;4295500;2326810;71360;1897320;33890;458390;1146040;591620;96860;400230;1339740;586840
40;09161;Bayern;Oberbayern;Ingolstadt, Stadt;123980;65450;2220;56310;870;14860;32360;15640;1720;12240;38740;14470
40;09162;Bayern;Oberbayern;München, Landeshauptstadt;1338830;741860;28780;568200;5580;162260;380850;164460;28700;143160;321740;276960
40;09163;Bayern;Oberbayern;Rosenheim, Stadt;58930;31530;1410;25990;/;6960;15070;7890;1210;6350;19350;5820
40;09171;Bayern;Oberbayern;Altötting;105180;53690;1830;49670;850;9800;25120;15680;2240;9290;37470;6920
40;09172;Bayern;Oberbayern;Berchtesgadener Land;99730;53170;1520;45040;1050;10730;23720;14940;2730;8390;37850;6930
40;09173;Bayern;Oberbayern;Bad Tölz-Wolfratshausen;118330;64440;1730;52160;1350;11880;29930;18410;2860;11150;40940;12340
40;09174;Bayern;Oberbayern;Dachau;137230;78120;1640;57470;1560;15140;38640;20050;2730;13810;50290;14020
40;09175;Bayern;Oberbayern;Ebersberg;126580;68230;1840;56510;1260;11250;34910;17810;3000;9900;42280;16050
40;09176;Bayern;Oberbayern;Eichstätt;123120;66210;1400;55510;1270;14130;31660;17180;1970;11780;44440;9990
40;09177;Bayern;Oberbayern;Erding;124390;71720;1640;51030;1690;14340;34920;18130;2630;11660;49250;10800
40;09178;Bayern;Oberbayern;Freising;162090;92790;1930;67370;1570;19390;46720;22060;3050;15340;58110;19340
40;09179;Bayern;Oberbayern;Fürstenfeldbruck;200520;106400;3140;90990;1780;18280;51660;30140;4540;15450;65370;25580
40;09180;Bayern;Oberbayern;Garmisch-Partenkirchen;83680;41980;1220;40470;710;7270;20530;11090;2380;6670;28250;7070
40;09181;Bayern;Oberbayern;Landsberg am Lech;111840;60370;1540;49920;1250;11270;28390;16930;2530;9210;38970;12200
40;09182;Bayern;Oberbayern;Miesbach;92900;49880;1140;41880;670;8120;22990;14990;3100;6760;32800;10320
40;09183;Bayern;Oberbayern;Mühldorf a.Inn;105150;54270;1860;49010;860;10410;24920;15530;2550;8810;39450;6010
40;09184;Bayern;Oberbayern;München;314220;163190;4310;146720;2480;26580;84050;42830;7250;23500;86880;52800
40;09185;Bayern;Oberbayern;Neuburg-Schrobenhausen;89460;48750;1110;39600;900;9640;22870;13670;1670;9380;34000;5370
40;09186;Bayern;Oberbayern;Pfaffenhofen a.d.Ilm;115500;63500;1610;50390;1200;11860;31280;16700;2460;11660;42790;9040
40;09187;Bayern;Oberbayern;Rosenheim;242290;130500;3410;108380;2240;25010;61180;35950;6110;19930;88990;21570
40;09188;Bayern;Oberbayern;Starnberg;126560;64860;2030;59670;1250;9080;31580;18540;4400;9910;33870;21080
40;09189;Bayern;Oberbayern;Traunstein;167330;87390;2430;77510;1510;16630;40330;24690;4230;14680;61440;11270
40;09190;Bayern;Oberbayern;Weilheim-Schongau;127690;68530;1640;57530;1590;13470;32370;18290;2800;11170;46470;10880
20;092;Bayern;Niederbayern;Gesamt;1165490;615010;18330;532150;11490;122590;291400;170000;19520;111910;433890;69220
40;09261;Bayern;Niederbayern;Landshut, Stadt;62850;31400;1230;30220;/;6450;15600;8100;960;5600;18260;7540
40;09262;Bayern;Niederbayern;Passau, Stadt;48270;23010;1340;23930;/;5210;10490;6190;1040;4670;12740;5600
40;09263;Bayern;Niederbayern;Straubing, Stadt;42910;21920;1270;19710;/;4610;9860;6530;600;4350;14480;3090
40;09271;Bayern;Niederbayern;Deggendorf;113700;60990;1660;51040;1100;12430;28870;17000;1600;10300;44200;6500
40;09272;Bayern;Niederbayern;Freyung-Grafenau;77700;39380;1300;37020;920;7630;19400;10750;680;8470;28250;2660
40;09273;Bayern;Niederbayern;Kelheim;111880;61320;1610;48940;1400;12390;28770;16770;2000;10450;44490;6380
40;09274;Bayern;Niederbayern;Landshut;146670;80270;2110;64290;1410;15080;40320;21050;2410;13130;57190;9950
40;09275;Bayern;Niederbayern;Passau;183470;96530;2590;84350;1700;18530;44780;27850;3670;18060;69010;9460
40;09276;Bayern;Niederbayern;Regen;76400;38860;1270;36270;750;7620;18180;11230;1080;9240;26330;3290
40;09277;Bayern;Niederbayern;Rottal-Inn;116360;61210;1800;53350;1280;12240;27630;17950;2110;10840;44870;5510
40;09278;Bayern;Niederbayern;Straubing-Bogen;95510;51310;1240;42960;1130;9960;24790;13780;1650;8110;38080;5120
40;09279;Bayern;Niederbayern;Dingolfing-Landau;89770;48810;890;40070;1120;10440;22710;12820;1720;8690;36000;4120
20;093;Bayern;Oberpfalz;Gesamt;1064090;566100;16040;481940;10240;115210;268960;154310;17390;99790;390020;76290
40;09361;Bayern;Oberpfalz;Amberg, Stadt;41150;20430;1220;19490;390;4240;9230;6050;530;3650;13770;3010
40;09362;Bayern;Oberpfalz;Regensburg, Stadt;134290;68570;2650;63070;/;16400;35590;14340;1710;11540;35370;21660
40;09363;Bayern;Oberpfalz;Weiden i.d.OPf., Stadt;41470;20890;1190;19390;/;4280;9760;5740;880;4500;13050;3340
40;09371;Bayern;Oberpfalz;Amberg-Sulzbach;102880;55240;1470;46180;1120;10740;25180;16720;1480;10130;39350;5760
40;09372;Bayern;Oberpfalz;Cham;124910;68120;1350;55430;1540;14070;31120;19120;2270;13810;49190;5120
40;09373;Bayern;Oberpfalz;Neumarkt i.d.OPf.;125440;68380;1610;55440;1590;14150;31240;19260;2140;11410;50230;6750
40;09374;Bayern;Oberpfalz;Neustadt a.d.Waldnaab;95920;50750;1200;43970;950;10500;23970;13790;1520;8930;37180;4650
40;09375;Bayern;Oberpfalz;Regensburg;181940;98490;2120;81330;1530;17500;48860;27610;2990;15140;67260;16090
40;09376;Bayern;Oberpfalz;Schwandorf;141440;77230;2060;62150;1580;15790;36310;20880;2670;14020;56210;7010
