,mtknr,avg
383,1511,29.0
384,1512,18.0
385,1518,27.0
386,1525,22.0
387,1527,17.0
388,1542,17.0
389,1551,24.0
390,1552,21.0
391,1556,39.0
392,1560,24.0
393,1561,44.0
394,1566,30.0
395,1567,24.0
396,1568,40.0
397,1572,29.0
398,1573,38.0
399,1575,35.0
400,1586,26.0
401,1587,28.0
402,1589,33.0
403,1592,41.0
404,1593,19.0
405,1597,31.0
406,1599,14.0
407,1609,34.0
408,1610,23.0
409,1612,25.0
410,1621,34.0
411,1629,40.0
412,1636,16.0
413,1642,23.0
414,1644,31.0
415,1649,29.0
416,1657,37.0
417,1658,30.0
418,1660,31.0
419,1662,34.0
420,1665,32.0
421,1667,22.0
422,1675,19.0
423,1687,17.0
424,1688,15.0
425,1690,32.0
426,1695,34.0
427,1699,36.0
428,1705,21.0
429,1711,33.0
430,1721,20.0
431,1722,28.0
432,1723,28.0
433,1727,27.0
434,1737,26.0
435,1740,26.0
436,1743,29.0
437,1744,36.0
438,1754,
439,1755,34.0
440,1757,43.0
441,1758,37.0
442,1764,31.0
443,1767,37.0
444,1774,43.0
445,1778,16.0
446,1782,17.0
447,1785,33.0
448,1790,18.0
449,1793,23.0
450,1798,31.0
451,1801,22.0
452,1802,30.0
453,1805,24.0
454,1807,38.0
455,1809,32.0
456,1813,23.0
457,1814,40.0
458,1816,41.0
459,1822,10.0
460,1827,27.0
461,1829,29.0
462,1832,27.0
463,1835,35.0
464,1840,30.0
465,1852,36.0
466,1854,23.0
467,1861,28.0
468,1863,42.0
469,1871,24.0
470,1882,32.0
471,1883,27.0
472,1885,24.0
473,1887,27.0
474,1891,30.0
475,1896,30.0
476,1900,35.0
477,1910,30.0
478,1912,15.0
479,1919,27.0
480,1924,50.0
481,1926,32.0
482,1928,26.0
483,1930,21.0
484,1934,18.0
485,1955,36.0
486,1961,50.0
487,1963,24.0
488,1968,30.0
489,1970,23.0
490,1972,27.0
491,1974,24.0
492,1978,22.0
493,1980,34.0
494,1982,40.0
495,1991,28.0
496,1992,43.0
497,1996,23.0
498,2000,
499,2007,27.0
500,2010,21.0
501,2015,20.0
502,2017,24.0
503,2020,24.0
504,2026,16.0
505,2032,25.0
506,2033,30.0
507,2040,19.0
508,2041,34.0
509,2044,35.0
510,2048,26.0
511,2050,32.0
512,2051,39.0
513,2052,27.0
514,2065,20.0
515,2071,31.0
516,2074,32.0
517,2077,30.0
518,2078,27.0
519,2082,30.0
520,2084,21.0
521,2087,34.0
522,2088,21.0
523,2097,32.0
524,2102,26.0
525,2103,15.0
526,2105,45.0
527,2107,21.0
528,2108,19.0
529,2112,14.0
530,2121,22.0
531,2125,30.0
532,2135,35.0
533,2137,37.0
534,2138,46.0
535,2147,29.0
536,2148,25.0
537,2150,18.0
538,2158,35.0
539,2159,50.0
540,2162,31.0
541,2163,28.0
542,2164,29.0
543,2165,30.0
544,2167,15.0
545,2174,23.0
546,2175,27.0
547,2178,18.0
548,2181,13.0
549,2187,30.0
550,2191,30.0
551,2195,25.0
552,2198,32.0
553,2199,27.0
554,2207,30.0
555,2217,15.0
556,2218,34.0
557,2220,37.0
558,2227,33.0
559,2230,27.0
560,2237,42.0
561,2240,20.0
562,2241,30.0
563,2251,23.0
564,2257,23.0
565,2261,35.0
566,2263,25.0
567,2264,17.0
568,2267,36.0
569,2274,18.0
570,2275,29.0
571,2276,34.0
572,2281,21.0
573,2283,40.0
574,2286,18.0
575,2293,49.0
576,2297,22.0
577,2300,22.0
578,2303,26.0
579,2305,32.0
580,2310,30.0
581,2315,38.0
582,2326,40.0
583,2327,25.0
584,2328,20.0
585,2335,22.0
586,2341,23.0
587,2346,42.0
588,2348,50.0
589,2353,22.0
590,2360,21.0
591,2362,25.0
592,2364,18.0
593,2367,34.0
594,2370,25.0
595,2376,27.0
596,2377,42.0
597,2381,30.0
598,2382,15.0
599,2383,21.0
600,2384,40.0
601,2385,15.0
602,2392,20.0
603,2393,21.0
604,2396,16.0
605,2402,19.0
606,2415,50.0
607,2420,16.0
608,2421,31.0
609,2424,18.0
610,2426,33.0
611,2434,22.0
612,2435,35.0
613,2437,23.0
614,2442,15.0
615,2443,27.0
616,2445,36.0
617,2454,23.0
618,2458,15.0
619,2460,19.0
620,2479,21.0
621,2484,26.0
622,2487,31.0
623,2488,20.0
624,2490,22.0
625,2495,12.0
626,2496,28.0
627,2502,26.0
628,2513,19.0
629,2523,31.0
630,2525,25.0
631,2531,
632,2541,33.0
633,2542,29.0
634,2551,12.0
635,2552,22.0
636,2563,41.0
637,2565,21.0
638,2567,20.0
639,2581,28.0
640,2583,15.0
641,2590,15.0
642,2591,22.0
643,2597,15.0
644,2603,30.0
645,2604,22.0
646,2608,25.0
647,2610,41.0
648,2624,22.0
649,2628,30.0
650,2632,23.0
651,2634,37.0
652,2640,21.0
653,2647,36.0
654,2650,27.0
655,2651,22.0
656,2652,41.0
657,2660,20.0
658,2661,31.0
659,2674,28.0
660,2676,24.0
661,2678,28.0
662,2687,15.0
663,2688,26.0
664,2694,27.0
665,2695,25.0
666,2697,26.0
667,2699,20.0
668,2700,30.0
669,2701,26.0
670,2703,50.0
671,2707,34.0
672,2708,38.0
673,2711,19.0
674,2712,40.0
675,2723,38.0
676,2728,28.0
677,2735,19.0
678,2742,28.0
679,2756,27.0
680,2760,32.0
681,2768,20.0
682,2775,27.0
683,2786,47.0
684,2794,27.0
685,2814,50.0
686,2818,22.0
687,2824,17.0
688,2827,21.0
689,2833,22.0
690,2834,44.0
691,2841,33.0
692,2847,16.0
693,2850,18.0
694,2851,20.0
695,2856,27.0
696,2857,25.0
697,2863,
698,2867,27.0
699,2877,39.0
700,2878,46.0
701,2881,33.0
702,2884,24.0
703,2894,37.0
704,2896,50.0
705,2900,37.0
706,2901,50.0
707,2903,32.0
708,2905,33.0
709,2907,30.0
710,2912,27.0
711,2916,47.0
712,2925,28.0
713,2927,30.0
714,2932,43.0
715,2946,42.0
716,2955,33.0
717,2957,26.0
718,2969,50.0
719,2986,19.0
720,2991,27.0
721,2998,31.0
722,3002,29.0
723,3006,28.0
724,3009,41.0
725,3014,29.0
726,3019,27.0
727,3020,35.0
728,3022,29.0
729,3025,37.0
730,3030,30.0
731,3035,20.0
732,3040,27.0
733,3041,30.0
734,3054,28.0
735,3065,41.0
736,3069,36.0
737,3073,35.0
738,3074,16.0
739,3076,17.0
740,3081,23.0
741,3086,36.0
742,3092,19.0
743,3095,33.0
744,3097,24.0
745,3100,36.0
746,3104,31.0
747,3112,22.0
748,3118,40.0
749,3121,47.0
750,3122,30.0
751,3126,20.0
752,3128,31.0
753,3130,50.0
754,3131,37.0
755,3133,18.0
756,3141,40.0
757,3144,26.0
758,3145,32.0
759,3149,29.0
760,3160,50.0
761,3161,50.0
762,3162,49.0
763,3179,25.0
764,3184,24.0
765,3190,26.0
766,3194,28.0
767,3200,36.0
768,3201,18.0
769,3210,44.0
770,3214,19.0
771,3230,15.0
772,3236,31.0
773,3239,29.0
774,3250,34.0
775,3252,21.0
776,3266,36.0
777,3269,28.0
778,3271,50.0
779,3273,25.0
780,3276,28.0
781,3280,27.0
782,3283,40.0
783,3285,17.0
784,3288,41.0
785,3290,10.0
786,3298,15.0
787,3306,28.0
788,3307,29.0
789,3312,14.0
790,3313,42.0
791,3318,31.0
792,3321,19.0
793,3326,28.0
794,3329,31.0
795,3331,18.0
796,3334,24.0
797,3339,30.0
798,3340,20.0
799,3341,15.0
800,3343,27.0
801,3357,32.0
802,3359,34.0
803,3368,50.0
804,3370,29.0
805,3373,29.0
806,3374,50.0
807,3382,36.0
808,3387,18.0
